feed_idx,sep_mean,sep_std,water_mean,water_std,ea_mean,ea_std,furf_aq_mean,furf_aq_std,furf_org_mean,furf_org_std,logK_mean,logK_std
1,1.084363677891425,NaN,0.9685273188678615,NaN,0.7296491044881239,NaN,0.008930345141013716,NaN,0.11681201203666748,NaN,2.5711108641347287,NaN
2,1.0477367415211247,0.008049095389726483,0.9656926365077657,0.0010200657194559253,0.6898315612568311,0.0053417838205568466,0.011537014396139586,0.00010064175033936123,0.14184703873630297,0.0010651357920790545,2.5091978334275447,0.013271839888558316
3,1.0281682885759604,0.00943099082314031,0.963918804486106,0.0013166145669632223,0.661532464932122,0.0052899848821214976,0.013880109655350928,0.00020306455507580125,0.1653901205290586,0.001271885229656968,2.4779241785839656,0.02089410001637961
4,1.0288694649508834,0.00806087092186313,0.9640931434150161,0.0012722201536898544,0.658771155649778,0.0046190504025163445,0.014203300974498503,0.00018530238664857113,0.16990026291983223,0.001173051849648873,2.4817952633752958,0.017734952114710725
5,0.9948077034971907,0.008024704126051581,0.9620589049959554,0.0011323732963663938,0.6104284000022551,0.004466896252019153,0.0181359128540043,0.00021113893731973928,0.20572625073274944,0.0015241295133313966,2.4286903966171063,0.016620237414255782
