phase1_furfural,status,feed_water,separation,feed_idx,feed_furfural,phase2_water,phase1_water,phase2_ea,phase2_furfural,phase1_ea,sample,feed_ea
0.011470764769340813,valid,0.302,1.0474993622393893,2,0.12,0.1693268105899008,0.9664873244578076,0.6890039727781524,0.14166921663194687,0.022041910772851572,1,0.578
0.01153958463022527,valid,0.302,1.043994710189792,2,0.12,0.17151362107381568,0.9660112213083349,0.6871725721638349,0.14131380676234942,0.02244919406143982,2,0.578
0.053611909639114136,outlier,0.302,0.5044327823596855,2,0.12,0.3067318431149909,0.6876151352554949,0.5849428380525934,0.10832531883241574,0.258772955105391,3,0.578
0.011542454018475722,valid,0.302,1.0599708461274937,2,0.12,0.15771163022366183,0.9644843559621231,0.698666434617639,0.14362193515869914,0.023973190019401153,4,0.578
0.05422050961997786,outlier,0.302,0.5034330621567864,2,0.12,0.306583425408114,0.686657898293366,0.5847315777528181,0.10868499683906796,0.25912159208665614,5,0.578
0.011473410914581079,valid,0.302,1.0595245997333447,2,0.12,0.15893995203583763,0.9653394201362299,0.6976545053878855,0.14340554257627683,0.02318716894918916,6,0.578
0.05377053129094067,outlier,0.302,0.5053568665227107,2,0.12,0.3065518181037359,0.6881937073900456,0.5847054546767169,0.10874272721954736,0.2580357613190136,7,0.578
0.011444936163108214,valid,0.302,1.0507864476013133,2,0.12,0.16681525499430067,0.9664892558017036,0.6911001311518112,0.1420846138538881,0.022065808035188008,8,0.578
0.011351312552913198,valid,0.302,1.0538036800601087,2,0.12,0.1653423726239717,0.9672947165318007,0.692340191996392,0.14231743537963637,0.021353970915286204,9,0.578
0.011596675372049198,valid,0.302,1.0407606833923502,2,0.12,0.17360733748072638,0.965645054314631,0.6854203198716503,0.14097234264762323,0.022758270313319805,10,0.578
0.053430405563658474,outlier,0.302,0.5056416059915034,2,0.12,0.3066712718503864,0.6885375689916221,0.5848707117449106,0.10845801640470303,0.2580320254447193,11,0.578
0.05303018815615139,outlier,0.302,0.5064470237059635,2,0.12,0.30675872037008667,0.6892715993642012,0.5849958845609464,0.10824539506896687,0.2576982124796473,12,0.578
0.01156971515598447,valid,0.302,1.0457431265729025,2,0.12,0.1696593939163998,0.9655116407718337,0.6887136613054375,0.14162694477816268,0.022918644072181783,13,0.578
0.011661784518846688,valid,0.302,1.034696054382555,2,0.12,0.17802159760883252,0.9654301352323225,0.6817327153767856,0.14024568701438195,0.022908080248830776,14,0.578
0.011779099729292733,valid,0.302,1.0444957892752864,2,0.12,0.168241283877257,0.96322151351054,0.689866674828493,0.14189204129424995,0.024999386760167233,15,0.578
0.05291852269228092,outlier,0.302,0.5072500513330677,2,0.12,0.30671681037080123,0.6898810386873264,0.5849449113534508,0.10833827827574792,0.25720043862039266,16,0.578
0.011526763351789876,valid,0.302,1.0406851594298159,2,0.12,0.17449184239163906,0.9664439247092778,0.6846919200884753,0.1408162375198857,0.022029311938932383,17,0.578
0.011513660193942248,valid,0.302,1.0585200184136339,2,0.12,0.15932049365106238,0.964965304795199,0.6973317122822688,0.14334779406666895,0.023521035010858747,18,0.578
0.011509022634635109,valid,0.302,1.0496204607544044,2,0.12,0.16705267729238124,0.9658576743263463,0.690893548984487,0.14205377372313185,0.022633303039018674,19,0.578
0.011539017540769568,valid,0.302,1.0382134431233525,2,0.12,0.17645533233633856,0.9665153692505707,0.6830534967623204,0.14049117090134103,0.021945613208659655,20,0.578
