parameter,mu,mu_star,sigma
τ₁₃,-0.10745656167496287,0.10745656167496287,0.01423472062837449
τ₃₁,0.08675338109308262,0.08675338109308262,0.014252543322739175
τ₃₂,-2.022909077636914e-5,3.070858075215899e-5,3.588006067666818e-5
τ₁₂,1.6726610817252574e-5,2.4012419412577923e-5,2.0905940007275015e-5
τ₂₁,9.749920850954386e-6,2.1448314285466008e-5,3.2798302051360784e-5
τ₂₃,3.073763019112441e-6,5.034216057908658e-6,6.493516525648722e-6
