feed_water,separation,feed_idx,feed_furfural,phase2_water,phase1_water,phase2_ea,phase2_furfural,tau_13_rel_change,organic_ea,organic_water,aqueous_furfural,phase1_furfural,status,tau_31_rel_change,tau_31,aqueous_ea,aqueous_water,phase1_ea,organic_furfural,tau_13,sample,feed_ea
0.513,0.9164024733099474,4,0.103,0.23687159276342354,0.9433616274229037,0.6056850693856138,0.1574433378509625,-0.1012692455506201,0.6056850693856138,0.23687159276342354,0.017624232114518294,0.017624232114518294,valid,-0.06695911095917374,2.6539898535304656,0.03901414046257801,0.9433616274229037,0.03901414046257801,0.1574433378509625,3.621751225423111,1,0.385
0.513,0.9520890921507482,4,0.103,0.21831465684360654,0.9520969881506578,0.6208146556842584,0.16087068747213512,-0.06376346437755216,0.6208146556842584,0.21831465684360654,0.016261858931591905,0.016261858931591905,valid,-0.05381465888763325,2.6913786141280296,0.03164115291775037,0.9520969881506578,0.03164115291775037,0.16087068747213512,3.7728939433634046,2,0.385
0.513,0.9898650694355219,4,0.103,0.19549320230382145,0.9582859640530632,0.6392584166519145,0.16524838104426404,-0.034578721458971166,0.6392584166519145,0.19549320230382145,0.015210660719704849,0.015210660719704849,valid,-0.027519991762402187,2.766172527848215,0.02650337522723195,0.9582859640530632,0.02650337522723195,0.16524838104426404,3.890504115159281,3,0.385
0.513,1.0055800435383289,4,0.103,0.18650879877517285,0.9613408775433505,0.6465581546090666,0.16693304661576042,-0.015770933558348074,0.6465581546090666,0.18650879877517285,0.014723404391936179,0.014723404391936179,valid,-0.017331957962328063,2.795151899117376,0.023935718064713313,0.9613408775433505,0.023935718064713313,0.16693304661576042,3.966296702137472,4,0.385
0.513,1.01550066887159,4,0.103,0.17991881713177837,0.9623956237582567,0.6518529215288776,0.16822826133934407,-0.010724796594153872,0.6518529215288776,0.17991881713177837,0.014515308363631355,0.014515308363631355,valid,-0.007379185895613475,2.823462079721268,0.023089067878111963,0.9623956237582567,0.023089067878111963,0.16822826133934407,3.986631883328551,5,0.385
0.513,1.0352848517423987,4,0.103,0.1673511289432484,0.9650438729145991,0.6619858810138668,0.1706629900428848,0.005729792724000532,0.6619858810138668,0.1673511289432484,0.014039814273495028,0.014039814273495028,valid,0.011580081179329012,2.877390801429272,0.020916312811905827,0.9650438729145991,0.020916312811905827,0.1706629900428848,4.052941430133112,6,0.385
0.513,0.4938786884055768,4,0.103,0.38680085050367363,0.7641660140745636,0.492632093702471,0.12056705579385522,0.024178690049943524,0.492632093702471,0.38680085050367363,0.05498902072762367,0.05498902072762367,outlier,0.012806948223060636,2.880880565622824,0.1808449651978126,0.7641660140745636,0.1808449651978126,0.12056705579385522,4.127287741491818,7,0.385
0.513,0.49420077752853375,4,0.103,0.3816302152845189,0.7591501095510657,0.4970106377237657,0.12135914699171542,0.028656380300609893,0.4970106377237657,0.3816302152845189,0.05599389719035802,0.05599389719035802,outlier,0.04100291214783921,2.961082626481916,0.18485599325857627,0.7591501095510657,0.18485599325857627,0.12135914699171542,4.14533216700205,8,0.385
0.513,0.4922010269295259,4,0.103,0.3752199284118318,0.7508915607055202,0.5025719855519546,0.12220808603621348,0.054017021946894166,0.5025719855519546,0.3752199284118318,0.058000923415106743,0.058000923415106743,outlier,0.0448557367157795,2.9720418003304045,0.1911075158793731,0.7508915607055202,0.1911075158793731,0.12220808603621348,4.247531779628214,9,0.385
0.513,1.0887766806659605,4,0.103,0.1344444774693441,0.9732082876503791,0.6886122110889357,0.17694331144172035,0.08019045973727956,0.6886122110889357,0.1344444774693441,0.012657041807668142,0.012657041807668142,valid,0.06814057541675685,3.0382744021159658,0.01413467054195277,0.9732082876503791,0.01413467054195277,0.17694331144172035,4.353006839785625,10,0.385
