feed_idx,feed_water,feed_furfural,feed_ea,n_samples,n_valid,n_outliers,n_failed,success_rate,separation_mean,separation_std,separation_cv,separation_min,separation_max,aqueous_water_mean,aqueous_water_std,organic_ea_mean,organic_ea_std
1,0.205,0.01,0.785,10,2,8,0,20.0,1.0524424832291002,0.02025040761492803,1.9241343767115713,1.0381232826827929,1.0667616837754075,0.9458329290132584,0.003042460669750138,0.7930055402516518,0.010893917440885975
2,0.308,0.026,0.667,10,1,9,0,10.0,0.9676763490889593,NaN,NaN,0.9676763490889593,0.9676763490889593,0.9407624332107248,NaN,0.7274366659698525,NaN
3,0.41,0.051,0.538,10,2,8,0,20.0,1.0067197241298471,0.029355896032757053,2.9159949218369263,0.9859619709772773,1.027477477282417,0.9469583690813179,0.008304764293589968,0.725601651503867,0.012155498863697
4,0.513,0.103,0.385,10,7,3,0,70.0,1.0004998399592135,0.05595041988402448,5.5922467600100125,0.9164024733099474,1.0887766806659605,0.9593904630704585,0.009548705785465999,0.6449667585660761,0.027090860028268184
5,0.226,0.077,0.697,10,1,9,0,10.0,0.9661914962944356,NaN,NaN,0.9661914962944356,0.9661914962944356,0.941098751539805,NaN,0.6973862462834345,NaN
