feed_water,separation,feed_idx,feed_furfural,phase2_water,phase1_water,phase2_ea,phase2_furfural,tau_13_rel_change,organic_ea,organic_water,aqueous_furfural,phase1_furfural,status,tau_31_rel_change,tau_31,aqueous_ea,aqueous_water,phase1_ea,organic_furfural,tau_13,sample,feed_ea
0.308,0.9676763490889593,2,0.026,0.24430424972754125,0.9407624332107248,0.7274366659698525,0.028259084302606326,-0.07120547964701343,0.7274366659698525,0.24430424972754125,0.0031526585681313406,0.0031526585681313406,valid,-0.11097902551548702,2.528777327522271,0.05608490822114373,0.9407624332107248,0.05608490822114373,0.028259084302606326,3.7429037290657954,1,0.667
0.308,0.5313817013433956,2,0.026,0.3139739032994874,0.6933391232836787,0.6726004070203229,0.013425689680189638,-0.04239763262413641,0.6726004070203229,0.3139739032994874,0.00607458728088614,0.00607458728088614,outlier,-0.04359014210435729,2.720461759485102,0.3005862894354351,0.6933391232836787,0.3005862894354351,0.013425689680189638,3.8589950664773305,2,0.667
0.308,0.5273574489586661,2,0.026,0.31382420808793376,0.690372400589175,0.6724784375752234,0.01369735433684277,-0.030265205020885817,0.6724784375752234,0.31382420808793376,0.006286558755905217,0.006286558755905217,outlier,-0.030079295853031363,2.7588927106736305,0.30334104065491974,0.690372400589175,0.30334104065491974,0.01369735433684277,3.907886944630928,3,0.667
0.308,0.5226157090005223,2,0.026,0.31374315861879815,0.6869214773528172,0.6724209520084196,0.013835889372782274,-0.012688120776355314,0.6724209520084196,0.31374315861879815,0.00645902441438072,0.00645902441438072,outlier,-0.019086796909234423,2.790160344283742,0.30661949823280227,0.6869214773528172,0.30661949823280227,0.013835889372782274,3.978719978981684,4,0.667
0.308,0.5200505366465223,2,0.026,0.3135485066242817,0.6849693321510705,0.6722531939549846,0.014198299420733836,-0.00010116786823622718,0.6722531939549846,0.3135485066242817,0.006704631400690989,0.006704631400690989,outlier,-0.0020095192356762727,2.838735837816655,0.3083260364482385,0.6849693321510705,0.3083260364482385,0.014198299420733836,4.029443526488693,5,0.667
0.308,0.5179082759008267,2,0.026,0.3133966832652184,0.683341933813878,0.6721219139787074,0.014481402756074195,0.01173427334837765,0.6721219139787074,0.3133966832652184,0.006906282595684789,0.006906282595684789,outlier,0.012080341201574168,2.878813766959251,0.3097517835904371,0.683341933813878,0.3097517835904371,0.014481402756074195,4.077138593690389,6,0.667
0.308,0.5163440882635946,2,0.026,0.31337464003929294,0.6822012354520354,0.672107199992398,0.014518159968309187,0.02059947914782138,0.672107199992398,0.31337464003929294,0.006968695844627144,0.006968695844627144,outlier,0.01607547080799658,2.890177720633226,0.3108300687033374,0.6822012354520354,0.3108300687033374,0.014518159968309187,4.112864054078617,7,0.667
0.308,0.5154184386336732,2,0.026,0.3131352499194233,0.6813992572138223,0.6718896561354806,0.014975093945096028,0.02798029668827642,0.6718896561354806,0.3131352499194233,0.00723554801757874,0.00723554801757874,outlier,0.03551159892923193,2.9454628506115106,0.31136519476859886,0.6813992572138223,0.31136519476859886,0.014975093945096028,4.1426076506334555,8,0.667
0.308,0.5119004822088036,2,0.026,0.31293880186448453,0.6787427889353871,0.6717191482512536,0.015342049884261784,0.05376247414087337,0.6717191482512536,0.31293880186448453,0.007544693994636718,0.007544693994636718,outlier,0.05657696643139535,3.0053822735095843,0.3137125170699762,0.6787427889353871,0.3137125170699762,0.015342049884261784,4.246505989842095,9,0.667
0.308,0.5038815582187882,2,0.026,0.3129224234889411,0.6729089249437441,0.6717300638157185,0.015347512695340255,0.12907394170442632,0.6717300638157185,0.3129224234889411,0.007852382056957222,0.007852382056957222,outlier,0.06559195053468196,3.0310249614355738,0.31923869299929875,0.6729089249437441,0.31923869299929875,0.015347512695340255,4.549999999128359,10,0.667
