Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
54,OK,2.5,30,65.75,30,2.5,0.0328290557,0.00927341754,0.030485027,0.841387062,0.936685916,0.0966864721
55,OK,2.5,32,63.75,32,2.5,0.0336472523,0.00926968893,0.0306341834,0.846388515,0.935718563,0.0950073572
56,OK,2.5,34,61.75,34,2.5,0.0345084359,0.0092948029,0.0307653299,0.850766595,0.934726233,0.0935336447
57,OK,2.5,36,59.75,36,2.5,0.0354162226,0.00934565614,0.0308817814,0.854625541,0.933701995,0.0922283853
58,OK,2.5,38,57.75,38,2.5,0.0363746547,0.00942003792,0.0309861093,0.85804732,0.932639235,0.0910627439
59,OK,2.5,40,55.75,40,2.5,0.037388266,0.00951642697,0.0310803392,0.861097181,0.931531394,0.0900138793
60,OK,2.5,42,53.75,42,2.5,0.0384621611,0.00963385285,0.0311660887,0.863827634,0.930371749,0.0890634474
61,OK,2.5,44,51.75,44,2.5,0.0396021106,0.00977180186,0.031244666,0.866281336,0.929153222,0.0881965241
62,OK,2.5,46,49.75,46,2.5,0.0408146666,0.00993015518,0.031317141800000003,0.868493225,0.92786819,0.0874008166
63,OK,2.5,48,47.75,48,2.5,0.0421073037,0.0101091511,0.0313844019,0.870492107,0.926508293,0.0866660762
64,OK,2.5,50,45.75,50,2.5,0.043488593,0.0103093666,0.0314471862,0.872301862,0.92506422,0.0859836536
65,OK,3,20,75.25,20,3,0.0351842974,0.0118069745,0.0292887846,0.799069313,0.935526916,0.110211743
66,OK,3,22,73.25,22,3,0.0359650993,0.0115001076,0.0296363613,0.810385285,0.934398538,0.106340895
67,OK,3,24,71.25,24,3,0.0367822835,0.0112827946,0.0299207259,0.819760033,0.933296989,0.103162072
68,OK,3,26,69.25,26,3,0.0376384566,0.011135358,0.0301578054,0.827639638,0.932203736,0.100505382
69,OK,3,28,67.25,28,3,0.0385365442,0.0110440485,0.0303586991,0.834344742,0.931104755,0.0982513247
70,OK,3,30,65.25,30,3,0.0394798083,0.0109990907,0.0305313504,0.840111065,0.92998884,0.0963136203
71,OK,3,32,63.25,32,3,0.0404718804,0.0109934483,0.0306815804,0.845115387,0.928846538,0.0946285192
72,OK,3,34,61.25,34,3,0.0415168072,0.0110220262,0.0308137449,0.849492651,0.927669446,0.0931479455
73,OK,3,36,59.25,36,3,0.0426191093,0.0110811442,0.0309311653,0.853347486,0.926449724,0.0918349738
74,OK,3,38,57.25,38,3,0.0437838511,0.0111681829,0.0310364166,0.856762144,0.925179731,0.0906607693
75,OK,3,40,55.25,40,3,0.045016727,0.0112813435,0.0311315255,0.85980208,0.923851746,0.0896024718
76,OK,3,42,53.25,42,3,0.0463241645,0.0114194837,0.0312181085,0.86251994,0.922457725,0.0886417004
77,OK,3,44,51.25,44,3,0.0477134496,0.011582007,0.0312974707,0.864958464,0.920989078,0.0877634774
78,OK,3,46,49.25,46,3,0.0491928794,0.0117687902,0.0313706771,0.867152619,0.919436442,0.0869554396
79,OK,3,48,47.25,48,3,0.050771949,0.0119801402,0.0314386055,0.869131198,0.917789444,0.0862072493
80,OK,3,50,45.25,50,3,0.0524615837,0.0122167736,0.0315019841,0.870918026,0.91603643,0.0855101474
81,OK,3.5,20,74.75,20,3.5,0.0411032365,0.0136252758,0.0293246973,0.797738191,0.929572064,0.109848129
82,OK,3.5,22,72.75,22,3.5,0.0420207065,0.0132699081,0.0296736626,0.809087267,0.928305629,0.105977826
83,OK,3.5,24,70.75,24,3.5,0.0429814253,0.013017847,0.0299592433,0.818486662,0.927059329,0.102797629
84,OK,3.5,26,68.75,26,3.5,0.0439885197,0.0128464021,0.0301974042,0.826384066,0.925814074,0.100138079
85,OK,3.5,28,66.75,28,3.5,0.0450455076,0.0127397142,0.0303992696,0.833101328,0.924555221,0.0978799364
86,OK,3.5,30,64.75,30,3.5,0.0461563193,0.0126865054,0.0305728003,0.838875072,0.923270878,0.0959370841
87,OK,3.5,32,62.75,32,3.5,0.0473253388,0.0126786575,0.0307238287,0.843882758,0.92195083,0.0942458702
88,OK,3.5,34,60.75,34,3.5,0.0485574616,0.0127102929,0.0308567175,0.848259836,0.920585819,0.0927582732
89,OK,3.5,36,58.75,36,3.5,0.0498581667,0.0127771679,0.0309747915,0.852111317,0.91916704,0.0914373901
90,OK,3.5,38,56.75,38,3.5,0.0512336058,0.0128762647,0.0310806258,0.855519732,0.917685766,0.0902543839
91,OK,3.5,40,54.75,40,3.5,0.0526907108,0.0130055152,0.0311762446,0.858550738,0.916133043,0.0891863713
92,OK,3.5,42,52.75,42,3.5,0.0542373241,0.0131636123,0.0312632593,0.861257118,0.914499414,0.08821493
93,OK,3.5,44,50.75,44,3.5,0.0558823577,0.0133498828,0.0313429666,0.863681693,0.912774674,0.0873250225
94,OK,3.5,46,48.75,46,3.5,0.0576359871,0.0135642053,0.0314164204,0.865859465,0.91094759,0.086504207
95,OK,3.5,48,46.75,48,3.5,0.0595098906,0.0138069616,0.0314844831,0.867819217,0.909005624,0.085742047
96,OK,3.5,50,44.75,50,3.5,0.0615175462,0.0140790154,0.0315478638,0.869584722,0.906934588,0.0850296614
97,OK,4,20,74.25,20,4,0.047036357,0.0154059465,0.0293569374,0.79644566,0.923606703,0.109480965
98,OK,4,22,72.25,22,4,0.048092153,0.0150028117,0.0297070656,0.807827281,0.922200779,0.105611274
99,OK,4,24,70.25,24,4,0.0491982662,0.0147164392,0.0299936328,0.817251045,0.920808098,0.102429728
100,OK,4,26,68.25,26,4,0.0503583654,0.0145211943,0.0302326369,0.825166199,0.919408995,0.0997672986
101,OK,4,28,66.25,28,4,0.0515765868,0.0143991547,0.0304352251,0.83189576,0.917988185,0.0975050153
102,OK,4,30,64.25,30,4,0.0528575602,0.0143375729,0.0306093724,0.837677228,0.916533065,0.0955569239
103,OK,4,32,62.25,32,4,0.0542064594,0.0143272725,0.0307609197,0.842688721,0.915032618,0.0938594716
104,OK,4,34,60.25,34,4,0.055629072,0.0143616108,0.0308942339,0.847066189,0.913476692,0.0923646903
105,OK,4,36,58.25,36,4,0.0571318877,0.0144357935,0.0310126397,0.8509150089999999,0.91185547,0.0910356978
106,OK,4,38,56.25,38,4,0.058722207,0.014546415,0.0311187092,0.85431799,0.910159081,0.0898436523
107,OK,4,40,54.25,40,4,0.0604082721,0.0146911462,0.0312144603,0.857340987,0.908377265,0.0887656438
108,OK,4,42,52.25,42,4,0.0621994281,0.0148685221,0.0313014941,0.860036918,0.906499075,0.0877832033
109,OK,4,44,50.25,44,4,0.0641063179,0.0150777995,0.0313810944,0.862448685,0.904512585,0.0868812274
110,OK,4,46,48.25,46,4,0.0661411226,0.015318865,0.0314542973,0.864611329,0.902404577,0.0860471876
111,OK,4,48,46.25,48,4,0.0683178579,0.0155921823,0.0315219428,0.866553626,0.900160196,0.0852705385
112,OK,4,50,44.25,50,4,0.0706527445,0.0158987704,0.0315847115,0.868299302,0.897762541,0.084542264
113,OK,4.5,20,73.75,20,4.5,0.0529831404,0.0171507472,0.0293855174,0.795190066,0.917631339,0.109110301
114,OK,4.5,22,71.75,22,4.5,0.0541788474,0.0167005739,0.029736582,0.806603664,0.916084567,0.10524129
115,OK,4.5,24,69.75,24,4.5,0.0554321323,0.0163803352,0.0300239038,0.816051503,0.914543961,0.102058415
116,OK,4.5,26,67.75,26,4.5,0.0567472263,0.0161615183,0.0302635111,0.823984331,0.912989259,0.099393087
117,OK,4.5,28,65.75,28,4.5,0.0581289084,0.0160241826,0.0304665706,0.830726296,0.911404518,0.0971266062
118,OK,4.5,30,63.75,30,4.5,0.0595825374,0.0159541431,0.0306410687,0.836515749,0.909776391,0.0951731842
119,OK,4.5,32,61.75,32,4.5,0.061114112,0.0159411879,0.030792852,0.841531447,0.908093033,0.0934693669
120,OK,4.5,34,59.75,34,4.5,0.0627303535,0.0159779264,0.0309262883,0.845909822,0.906343355,0.0919672397
121,OK,4.5,36,57.75,36,4.5,0.0644388113,0.0160590271,0.0310446994,0.849756615,0.904516486,0.0906299393
122,OK,4.5,38,55.75,38,4.5,0.0662479924,0.0161807065,0.0311506505,0.853154904,0.902601354,0.0894286163
123,OK,4.5,40,53.75,40,4.5,0.0681675189,0.016340383,0.0312461486,0.856170736,0.900586329,0.0883403302
124,OK,4.5,42,51.75,42,4.5,0.0702083208,0.0165364412,0.0313327809,0.858857167,0.898458895,0.0873465604
