Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,69,20,1,0.0113016912,0.00767129298,0.0204528383,0.521207314,0.96824547,0.19222282
2,OK,1,22,67,22,1,0.0113232956,0.00790424214,0.020452902,0.536030986,0.968223802,0.19769064
3,OK,1,24,65,24,1,0.0113450265,0.00810804925,0.0204529671,0.548820809,0.968202006,0.202408432
4,OK,1,26,63,26,1,0.0113668856,0.00828834368,0.0204530321,0.559968095,0.968180082,0.206520481
5,OK,1,28,61,28,1,0.0115137286,0.00828068529,0.0208410645,0.574356455,0.967645206,0.203781419
6,OK,1,30,59,30,1,0.0117776457,0.00814151376,0.0215093467,0.59115534,0.966713007,0.19615553
7,OK,1,32,57,32,1,0.0120548937,0.00802363135,0.0221159272,0.60650082,0.965829178,0.18929692
8,OK,1,34,55,34,1,0.0123460594,0.00792581087,0.022667724,0.620558609,0.964986216,0.18310396
9,OK,1,36,53,36,1,0.0126518975,0.00784691899,0.0231708656,0.633472259,0.964177236,0.17749062
10,OK,1,38,51,38,1,0.012973323,0.00778594902,0.0236307594,0.645366277,0.963395917,0.172383919
11,OK,1,40,49,40,1,0.01331141,0.00774203743,0.0240521648,0.656348845,0.962636424,0.167721774
12,OK,1,42,47,42,1,0.013667398,0.00771447098,0.0244392655,0.666514157,0.961893336,0.163451194
13,OK,1,44,45,44,1,0.0140427035,0.00770268894,0.0247957382,0.675944422,0.961161557,0.159526782
14,OK,1,46,43,46,1,0.0144389372,0.00770628321,0.0251248153,0.684711561,0.960436247,0.1559095
15,OK,1,48,41,48,1,0.0148579275,0.00772499825,0.0254293415,0.692878651,0.95971273,0.152565645
16,OK,1,50,39,50,1,0.0153017496,0.00775873207,0.0257118235,0.700501146,0.958986426,0.149466004
17,OK,1.5,20,68.5,20,1.5,0.0170281895,0.011394346,0.0204687348,0.519165256,0.962503075,0.191663422
18,OK,1.5,22,66.5,22,1.5,0.0170695752,0.0117445454,0.020468841,0.533863756,0.962461583,0.197091077
19,OK,1.5,24,64.5,24,1.5,0.0171112881,0.0120519141,0.0204689484,0.54654101,0.962419762,0.201772612
20,OK,1.5,26,62.5,26,1.5,0.0171533332,0.0123247607,0.0204690564,0.557586364,0.962377609,0.205851749
21,OK,1.5,28,60.5,28,1.5,0.0173859527,0.0123112384,0.0208673363,0.572020024,0.96174671,0.202977417
22,OK,1.5,30,58.5,30,1.5,0.0177898487,0.0121066389,0.0215380331,0.5887938,0.960672117,0.195389241
23,OK,1.5,32,56.5,32,1.5,0.0182146861,0.0119335644,0.0221469587,0.604117058,0.959638354,0.188561043
24,OK,1.5,34,54.5,34,1.5,0.0186614548,0.0117902535,0.0227010449,0.618154248,0.958637499,0.182392353
25,OK,1.5,36,52.5,36,1.5,0.0191314151,0.0116750808,0.0232064329,0.631047904,0.957662151,0.176798073
26,OK,1.5,38,50.5,38,1.5,0.0196260892,0.0115866071,0.0236685421,0.642921709,0.956705367,0.171705971
27,OK,1.5,40,48.5,40,1.5,0.0201472647,0.0115236059,0.024092143,0.653883167,0.955760591,0.167054558
28,OK,1.5,42,46.5,42,1.5,0.0206970088,0.011485076,0.0244814299,0.664025903,0.95482156,0.162791311
29,OK,1.5,44,44.5,44,1.5,0.0212776924,0.0114702469,0.0248400895,0.673431632,0.953882217,0.158871202
30,OK,1.5,46,42.5,46,1.5,0.0218920239,0.0114785815,0.0251713642,0.682171833,0.95293661,0.155255474
31,OK,1.5,48,40.5,48,1.5,0.0225430949,0.0115097785,0.0254781081,0.690309173,0.951978796,0.151910632
32,OK,1.5,50,38.5,50,1.5,0.0232344371,0.0115637774,0.0257628376,0.697898709,0.951002724,0.148807611
33,OK,2,20,68,20,2,0.0228041343,0.0150455619,0.0204824749,0.517177553,0.956713389,0.191093551
34,OK,2,22,66,22,2,0.022871389,0.0155133584,0.0204826208,0.531752593,0.956645989,0.196480699
35,OK,2,24,64,24,2,0.0229393121,0.0159252087,0.0204827681,0.544318446,0.956577918,0.20112557
36,OK,2,26,62,26,2,0.0230079159,0.0162920184,0.0204829173,0.555262558,0.956509165,0.205171313
37,OK,2,28,60,28,2,0.0233344754,0.0162713199,0.0208912068,0.569740876,0.955774316,0.202165712
38,OK,2,30,58,30,2,0.0238837441,0.0160039202,0.0215641321,0.586489513,0.954552122,0.194614109
39,OK,2,32,56,32,2,0.0244622125,0.015778024,0.0221752099,0.601790508,0.953362576,0.187815267
40,OK,2,34,54,34,2,0.0250713527,0.015591386,0.0227313839,0.615807058,0.952197262,0.18166984
41,OK,2,36,52,36,2,0.0257130236,0.0154419359,0.0232388071,0.628680688,0.951048168,0.176093634
42,OK,2,38,50,38,2,0.0263894645,0.0153278473,0.0237029088,0.640534261,0.949907625,0.171015135
43,OK,2,40,48,40,2,0.0271033062,0.0152475755,0.0241284691,0.651474598,0.948768223,0.166373426
44,OK,2,42,46,42,2,0.0278575983,0.0151998761,0.024519691,0.661594747,0.947622709,0.162116433
45,OK,2,44,44,44,2,0.0286558503,0.0151838161,0.0248802692,0.670975919,0.946463879,0.158199471
46,OK,2,46,42,46,2,0.0295020903,0.0151987796,0.0252134533,0.679689136,0.945284454,0.154584041
