Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,71.5,20,1,0.0109879981,0.00801876416,0.0204519017,0.560048391,0.968560099,0.206535101
2,OK,1,22,69.5,22,1,0.0111466509,0.00792500567,0.0210570042,0.580009834,0.967796344,0.201344186
3,OK,1,24,67.5,24,1,0.0113905257,0.00769662383,0.0218983061,0.601280798,0.966711167,0.191786681
4,OK,1,26,65.5,26,1,0.0116463209,0.00750143389,0.0226406819,0.620232285,0.965712996,0.183441295
5,OK,1,28,63.5,28,1,0.0119143246,0.00733625973,0.0232981665,0.637194911,0.964787508,0.176107993
6,OK,1,30,61.5,30,1,0.0121950351,0.00719818949,0.023882746,0.652444588,0.963922218,0.169624908
7,OK,1,32,59.5,32,1,0.0124891246,0.00708464674,0.0244045994,0.666212079,0.963106275,0.163860549
8,OK,1,34,57.5,34,1,0.0127974205,0.00699340529,0.0248723469,0.678690995,0.962330232,0.158707553
9,OK,1,36,55.5,36,1,0.0131208963,0.00692257655,0.0252932839,0.690044384,0.961585819,0.15407776
10,OK,1,38,53.5,38,1,0.0134606722,0.00687058506,0.0256735882,0.700410114,0.960865739,0.149898338
11,OK,1,40,51.5,40,1,0.0138180214,0.0068361405,0.0260185003,0.709905258,0.960163477,0.146108751
12,OK,1,42,49.5,42,1,0.0141943827,0.00681821085,0.0263324768,0.718629655,0.95947314,0.142658378
13,OK,1,44,47.5,44,1,0.0145913774,0.00681599856,0.0266193185,0.726668809,0.958789303,0.139504633
14,OK,1,46,45.5,46,1,0.0150108328,0.00682892109,0.0268822779,0.734096248,0.958106888,0.136611481
15,OK,1,48,43.5,48,1,0.0154548113,0.00685659588,0.0271241483,0.740975446,0.957421039,0.133948258
16,OK,1,50,41.5,50,1,0.0159256461,0.0068988302,0.0273473378,0.747361409,0.956727015,0.131488727
17,OK,1.5,20,71,20,1.5,0.0165513876,0.0119085937,0.020467498,0.557749343,0.962981113,0.205891685
18,OK,1.5,22,69,22,1.5,0.0167979172,0.0117664321,0.0210828067,0.577754096,0.962119275,0.200591399
19,OK,1.5,24,67,24,1.5,0.0171689102,0.0114293156,0.0219269357,0.599014448,0.960904153,0.191083476
20,OK,1.5,26,65,26,1.5,0.0175584424,0.0111411178,0.0226719899,0.617960301,0.959769567,0.182776569
21,OK,1.5,28,63,28,1.5,0.0179670095,0.0108972253,0.0233320296,0.634919942,0.95870096,0.175472988
22,OK,1.5,30,61,30,1.5,0.0183954333,0.0106933979,0.0239190635,0.650167607,0.957685502,0.169012651
23,OK,1.5,32,59,32,1.5,0.0188448103,0.0105258787,0.0244432905,0.663932852,0.956711898,0.163265418
24,OK,1.5,34,57,34,1.5,0.0193164851,0.0103914204,0.0249133489,0.676408416,0.955770165,0.15812495
25,OK,1.5,36,55,36,1.5,0.0198120409,0.0102872694,0.0253365501,0.687756709,0.954851408,0.153503864
26,OK,1.5,38,53,38,1.5,0.0203333025,0.010211133,0.0257190866,0.698115121,0.95394761,0.149329916
27,OK,1.5,40,51,40,1.5,0.0208823508,0.0101611401,0.0260662122,0.707600359,0.953051436,0.145543016
28,OK,1.5,42,49,42,1.5,0.0214615463,0.0101358032,0.0263823958,0.716311964,0.952156057,0.142092875
29,OK,1.5,44,47,44,1.5,0.0220735614,0.0101339863,0.0266714497,0.724335186,0.951254988,0.138937153
30,OK,1.5,46,45,46,1.5,0.0227214236,0.010154877,0.0269366374,0.731743316,0.950341938,0.136039991
31,OK,1.5,48,43,48,1.5,0.0234085693,0.0101979676,0.0271807625,0.738599598,0.949410667,0.133370841
32,OK,1.5,50,41,50,1.5,0.0241389111,0.0102630423,0.0274062434,0.744958792,0.948454844,0.130903532
33,OK,2,20,70.5,20,2,0.0221601124,0.015722208,0.0204810562,0.555511455,0.95735883,0.205239625
34,OK,2,22,68.5,22,2,0.0225000472,0.0155307028,0.0211063104,0.575559294,0.956393641,0.199833621
35,OK,2,24,66.5,24,2,0.0230015634,0.0150882872,0.0219530682,0.596808694,0.955045367,0.190374158
36,OK,2,26,64.5,26,2,0.0235286731,0.0147099718,0.0227005995,0.615748603,0.953770726,0.182104797
37,OK,2,28,62.5,28,2,0.0240821234,0.0143897984,0.023362988299999998,0.632705011,0.952554887,0.174830131
38,OK,2,30,60.5,30,2,0.0246631114,0.0141222777,0.0239522641,0.647950496,0.951384623,0.168391814
39,OK,2,32,58.5,32,2,0.0252732191,0.0139025398,0.0244786443,0.661713417,0.950248135,0.162661019
40,OK,2,34,56.5,34,2,0.025914381,0.0137263732,0.0249507835,0.674185643,0.949134834,0.157532405
41,OK,2,36,54.5,36,2,0.0265888755,0.0135902095,0.0253760075,0.685528943,0.948035115,0.152919343
42,OK,2,38,52.5,38,2,0.0272993343,0.013491083,0.0257605212,0.695880226,0.946940143,0.148750158
43,OK,2,40,50.5,40,2,0.0280487672,0.013426582,0.02610959,0.705355825,0.945841641,0.14496519
44,OK,2,42,48.5,42,2,0.0288406008,0.0133948029,0.0264276924,0.714054975,0.944731705,0.141514464
45,OK,2,44,46.5,44,2,0.0296787318,0.0133943091,0.02671865,0.72206266,0.943602616,0.13835587
46,OK,2,46,44.5,46,2,0.030567596,0.0134240987,0.0269857337,0.729451923,0.942446668,0.135453706
47,OK,2,48,42.5,48,2,0.0315122556,0.0134835819,0.0272317542,0.736285762,0.941255988,0.13277752
