Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,75.25,20,1,0.0114302567,0.00591451039,0.0255581043,0.698288555,0.963011638,0.151179202
2,OK,1,22,73.25,22,1,0.011679856,0.00569342564,0.0262203709,0.716784484,0.962099772,0.143884959
3,OK,1,24,71.25,24,1,0.0119402359,0.0055178795,0.0267735754,0.732572328,0.961286188,0.137781402
4,OK,1,26,69.25,26,1,0.0122120394,0.00537953967,0.0272410692,0.746181851,0.960546891,0.132609417
5,OK,1,28,67.25,28,1,0.0124960335,0.00527202506,0.0276404121,0.758018351,0.959863554,0.128177301
6,OK,1,30,65.25,30,1,0.0127930947,0.00519043791,0.0279849408,0.768395617,0.959221964,0.12434092
7,OK,1,32,63.25,32,1,0.0131042056,0.00513100767,0.0282848962,0.77755945,0.958610898,0.12099024
8,OK,1,34,61.25,34,1,0.0134304586,0.00509082553,0.0285482303,0.785704566,0.95802131,0.118040052
9,OK,1,36,59.25,36,1,0.0137730653,0.00506764828,0.0287811867,0.792986856,0.957445747,0.115423502
10,OK,1,38,57.25,38,1,0.0141333693,0.00505975356,0.0289887204,0.799532368,0.95687791,0.113087486
11,OK,1,40,55.25,40,1,0.0145128636,0.00506583328,0.029174805,0.805443967,0.956312331,0.110989349
12,OK,1,42,53.25,42,1,0.0149132113,0.00508491503,0.0293426579,0.810806319,0.95574413,0.109094466
13,OK,1,44,51.25,44,1,0.015336271,0.00511630465,0.0294949093,0.815689657,0.955168819,0.10737446
14,OK,1,46,49.25,46,1,0.0157841271,0.0051595445,0.0296337285,0.820152665,0.954582144,0.105805859
15,OK,1,48,47.25,48,1,0.0162591268,0.00521438425,0.02976092,0.824244701,0.953979953,0.10436909
16,OK,1,50,45.25,50,1,0.0167639238,0.00528076134,0.0298779974,0.828007527,0.953358078,0.103047691
17,OK,1.5,20,74.75,20,1.5,0.0171882704,0.0087727701,0.0255966616,0.696305076,0.957215067,0.150707225
18,OK,1.5,22,72.75,22,1.5,0.0175663627,0.00844505224,0.0262617749,0.714841953,0.956171861,0.143431314
19,OK,1.5,24,70.75,24,1.5,0.0179611115,0.00818464701,0.0268176035,0.73066483,0.955221284,0.137339782
20,OK,1.5,26,68.75,26,1.5,0.0183735228,0.00797928306,0.0272875511,0.744303303,0.954338925,0.132175292
21,OK,1.5,28,66.75,28,1.5,0.0188047999,0.00781955224,0.0276892192,0.756162856,0.95350598,0.127747304
22,OK,1.5,30,64.75,30,1.5,0.0192563218,0.00769822777,0.0280359781,0.766557609,0.952707699,0.123912456
23,OK,1.5,32,62.75,32,1.5,0.0197296395,0.00760974364,0.0283380959,0.77573373,0.951932264,0.120561234
24,OK,1.5,34,60.75,34,1.5,0.020226483,0.00754980557,0.0286035469,0.783886287,0.951169969,0.117608786
25,OK,1.5,36,58.75,36,1.5,0.0207487778,0.00751510304,0.0288385934,0.791171477,0.950412628,0.114988498
26,OK,1.5,38,56.75,38,1.5,0.0212986673,0.00750309672,0.0290482065,0.797715607,0.949653125,0.112647431
27,OK,1.5,40,54.75,40,1.5,0.0218785423,0.00751186184,0.0292363735,0.803621747,0.948885083,0.110543036
28,OK,1.5,42,52.75,42,1.5,0.0224910767,0.00753997296,0.0294063242,0.80897471,0.948102598,0.108640751
29,OK,1.5,44,50.75,44,1.5,0.0231392718,0.00758641981,0.0295607004,0.813844827,0.947300027,0.106912227
30,OK,1.5,46,48.75,46,1.5,0.0238265095,0.00765054673,0.0297016817,0.818290827,0.946471808,0.105333997
31,OK,1.5,48,46.75,48,1.5,0.0245566165,0.00773201057,0.0298310827,0.822362064,0.9456123,0.10388646
32,OK,1.5,50,44.75,50,1.5,0.0253339429,0.00783075343,0.0299504265,0.826100244,0.94471563,0.102553111
33,OK,2,20,74.25,20,2,0.022973784,0.011568529,0.0256322087,0.694379204,0.951394006,0.150229767
34,OK,2,22,72.25,22,2,0.0234827265,0.0111366534,0.0262999437,0.712955943,0.950217328,0.142971979
35,OK,2,24,70.25,24,2,0.0240145121,0.0107932381,0.026858171,0.728813094,0.949127316,0.136892293
36,OK,2,26,68.25,26,2,0.0245705374,0.0105222146,0.0273303443,0.742480042,0.948099117,0.131735128
37,OK,2,28,66.25,28,2,0.0251524764,0.01031125,0.0277341043,0.754362421,0.947113418,0.127311089
38,OK,2,30,64.25,30,2,0.0257622529,0.0101508636,0.0280828523,0.764774654,0.946154893,0.123477572
39,OK,2,32,62.25,32,2,0.0264020363,0.01003375,0.0283868814,0.773963253,0.945211081,0.120125578
40,OK,2,34,60.25,34,2,0.0270742549,0.00995427273,0.0286541858,0.782123614,0.944271558,0.117170603
41,OK,2,36,58.25,36,2,0.0277816194,0.00990808764,0.0288910444,0.789412232,0.943327335,0.114546269
42,OK,2,38,56.25,38,2,0.0285271579,0.0098918659,0.0291024414,0.795955659,0.942370399,0.112199795
43,OK,2,40,54.25,40,2,0.0293142594,0.00990308914,0.0292923757,0.80185716,0.941393364,0.110088731
44,OK,2,42,52.25,42,2,0.0301467292,0.00993989917,0.0294640866,0.807201689,0.940389183,0.108178572
45,OK,2,44,50.25,44,2,0.0310288549,0.0100009885,0.0296202235,0.812059668,0.93935092,0.106440989
46,OK,2,46,48.25,46,2,0.0319654886,0.0100855222,0.029762973,0.816489869,0.938271537,0.104852505
47,OK,2,48,46.25,48,2,0.0329621458,0.0101930837,0.0298941551,0.820541637,0.937143698,0.103393484
48,OK,2,50,44.25,50,2,0.0340251273,0.0103236417,0.0300152977,0.824256618,0.935959574,0.10204736
49,OK,2.5,20,73.75,20,2.5,0.0287859885,0.0143043303,0.0256647325,0.69250874,0.945549277,0.149746937
50,OK,2.5,22,71.75,22,2.5,0.0294280589,0.013770683,0.0263348586,0.711124288,0.944237081,0.142507069
51,OK,2.5,24,69.75,24,2.5,0.0300994599,0.013346044,0.0268952538,0.727014973,0.943005284,0.136439059
52,OK,2.5,26,67.75,26,2.5,0.0308020056,0.0130106835,0.0273694184,0.740709927,0.941828574,0.131289056
53,OK,2.5,28,65.75,28,2.5,0.0315378743,0.0127494411,0.0277750295,0.752614903,0.940687094,0.12686879
