Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
55,OK,2.5,32,65.5,32,2.5,0.0338965807,0.00639879659,0.0326024102,0.920898394,0.933501009,0.0727028095
56,OK,2.5,34,63.5,34,2.5,0.0347645807,0.00655065987,0.0326098089,0.920787478,0.93262561,0.0726618625
57,OK,2.5,36,61.5,36,2.5,0.0356796433,0.00671017745,0.0326175068,0.920671135,0.93170285,0.0726186872
58,OK,2.5,38,59.5,38,2.5,0.0366458145,0.00687796422,0.0326255212,0.920548944,0.930728664,0.0725730913
59,OK,2.5,40,57.5,40,2.5,0.0376676301,0.00705470501,0.0326338707,0.920420436,0.929698499,0.0725248591
60,OK,2.5,42,55.5,42,2.5,0.038750193,0.0072411652,0.0326425747,0.920285087,0.928607232,0.0724737479
61,OK,2.5,44,53.5,44,2.5,0.0398992677,0.00743820324,0.0326516541,0.920142314,0.927449078,0.0724194832
62,OK,2.5,46,51.5,46,2.5,0.0411213926,0.00764678576,0.0326611311,0.919991461,0.926217476,0.0723617537
63,OK,2.5,48,49.5,48,2.5,0.0424240187,0.00786800582,0.0326710288,0.91983179,0.924904953,0.0723002043
64,OK,2.5,50,47.5,50,2.5,0.0438156779,0.00810310498,0.0326813716,0.919662467,0.923502951,0.0722344282
65,OK,3,20,77,20,3,0.0354196119,0.00666490792,0.0326153296,0.920704135,0.931965059,0.0726309571
66,OK,3,22,75,22,3,0.03620451,0.00680140784,0.032621875,0.920604673,0.931173615,0.0725939187
67,OK,3,24,73,24,3,0.0370259907,0.00694380713,0.0326286429,0.920501046,0.930345366,0.0725551473
68,OK,3,26,71,26,3,0.0378867387,0.00709250938,0.032635644,0.920392975,0.929477617,0.0725145153
69,OK,3,28,69,28,3,0.0387897142,0.00724795707,0.0326428896,0.920280161,0.928567396,0.0724718817
70,OK,3,30,67,30,3,0.0397381892,0.00741063638,0.0326503911,0.920162273,0.92761142,0.0724270909
