Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,74,20,1,0.0112616668,0.00682574299,0.0235422862,0.643954099,0.965196046,0.173423987
2,OK,1,22,72,22,1,0.0115073838,0.0065705858,0.0243446037,0.665131104,0.964148012,0.164544459
3,OK,1,24,70,24,1,0.0117640301,0.00636092688,0.0250272848,0.683473965,0.963208684,0.15701854
4,OK,1,26,68,26,1,0.0120320752,0.00618978769,0.0256128072,0.699484204,0.962355117,0.150574257
5,OK,1,28,66,28,1,0.0123121594,0.00605147514,0.0261189356,0.713558213,0.961568904,0.145004227
6,OK,1,30,64,30,1,0.0126050626,0.00594139189,0.0265597348,0.726011596,0.960835202,0.140148537
7,OK,1,32,62,32,1,0.0129116902,0.00585584699,0.026946389,0.737097609,0.96014192,0.1358825
8,OK,1,34,60,34,1,0.013233069,0.00579188948,0.0272878416,0.747021105,0.959479089,0.132107813
9,OK,1,36,58,36,1,0.0135703515,0.0057471708,0.0275912907,0.755949101,0.958838357,0.128746159
10,OK,1,38,56,38,1,0.0139248245,0.00571983458,0.02786257,0.764018811,0.958212605,0.125734517
11,OK,1,40,54,40,1,0.0142979237,0.00570842984,0.0281064415,0.771343796,0.957595634,0.123021689
12,OK,1,42,52,42,1,0.0146912517,0.00571184378,0.0283268196,0.778018688,0.956981928,0.120565715
13,OK,1,44,50,44,1,0.0151066015,0.00572925042,0.0285269453,0.784122871,0.956366452,0.118331912
14,OK,1,46,48,46,1,0.0155459847,0.00576007199,0.0287095201,0.789723336,0.9557444939999999,0.116291388
15,OK,1,48,46,48,1,0.016011666,0.00580395099,0.0288768117,0.794876941,0.955111521,0.11441989
16,OK,1,50,44,50,1,0.0165062051,0.00586073104,0.0290307364,0.799632188,0.954463058,0.112696918
17,OK,1.5,20,73.5,20,1.5,0.0169459483,0.010126865,0.023574744,0.641812408,0.959479307,0.172848382
18,OK,1.5,22,71.5,22,1.5,0.0173185296,0.00974929575,0.0243800524,0.663014605,0.958301417,0.164002607
19,OK,1.5,24,69.5,24,1.5,0.0177080424,0.00943885755,0.0250655067,0.681382063,0.95722645,0.156500806
20,OK,1.5,26,67.5,26,1.5,0.0181152347,0.00918532021,0.0256536294,0.697414593,0.956231135,0.150073576
21,OK,1.5,28,65.5,28,1.5,0.0185411221,0.00898032365,0.0261622212,0.711507653,0.955296656,0.144515289
