Row/Case,Status,VARY   1,VARY   2,FLOWEA,FLOWWA,FLOWFUR,XFIN1,XFIN2,XWIN1,XWIN2,XEAIN1,XEAIN2
1,OK,1,20,76.5,20,1,0.011583204,0.00483800879,0.0277430815,0.761638733,0.960673714,0.127011478
2,OK,1,22,74.5,22,1,0.0118348086,0.00467967729,0.0282163544,0.776107538,0.959948836,0.121721264
3,OK,1,24,72.5,24,1,0.0120973448,0.00456056865,0.0286051269,0.788249349,0.959297528,0.117352969
4,OK,1,26,70.5,26,1,0.0123715559,0.00447248166,0.0289296305,0.79856868,0.958698813,0.113689936
5,OK,1,28,68.5,28,1,0.0126582774,0.00440949543,0.0292043324,0.807437174,0.95813739,0.110576948
6,OK,1,30,66.5,30,1,0.0129584359,0.00436728055,0.0294397883,0.81513361,0.957601775,0.107900315
7,OK,1,32,64.5,32,1,0.0132730538,0.00434263904,0.0296438463,0.821870629,0.957083099,0.105575093
8,OK,1,34,62.5,34,1,0.013603259,0.00433319331,0.0298224444,0.82781291,0.956574296,0.103536666
9,OK,1,36,60.5,36,1,0.0139502973,0.00433717329,0.0299801479,0.833089766,0.956069554,0.101735084
10,OK,1,38,58.5,38,1,0.0143155485,0.00435326868,0.0301205191,0.837804016,0.955563932,0.100131166
11,OK,1,40,56.5,40,1,0.0147005447,0.00438052556,0.0302463755,0.842038349,0.955053079,0.0986937686
12,OK,1,42,54.5,42,1,0.0151069936,0.00441827357,0.0303599739,0.845859952,0.954533032,0.0973978396
13,OK,1,44,52.5,44,1,0.0155368042,0.00446607454,0.0304631426,0.849323925,0.954000053,0.0962229997
14,OK,1,46,50.5,46,1,0.0159921199,0.0045236869,0.0305573797,0.852475833,0.9534505,0.0951525019
15,OK,1,48,48.5,48,1,0.0164753556,0.00459104159,0.030643925,0.855353644,0.952880719,0.0941724522
16,OK,1,50,46.5,50,1,0.0169892443,0.00466822717,0.0307238145,0.857989205,0.952286941,0.0932712193
17,OK,1.5,20,76,20,1.5,0.017407025,0.00717391574,0.0277888232,0.759919069,0.954804151,0.126623231
18,OK,1.5,22,74,22,1.5,0.017787786,0.00693870086,0.0282646416,0.774431404,0.953947572,0.121338667
19,OK,1.5,24,72,24,1.5,0.0181853688,0.00676156662,0.0286557617,0.786607169,0.953158869,0.116972872
20,OK,1.5,26,70,26,1.5,0.0186009298,0.00663038684,0.0289824707,0.796952255,0.952416599,0.113310053
21,OK,1.5,28,68,28,1.5,0.0190357731,0.00653640169,0.0292592775,0.805839463,0.951704949,0.110195531
22,OK,1.5,30,66,30,1.5,0.0194913499,0.00647320337,0.0294967697,0.81354851,0.95101188,0.107515961
23,OK,1.5,32,64,32,1.5,0.0199692667,0.00643605779,0.0297028201,0.820292788,0.950327912,0.105186618
24,OK,1.5,34,62,34,1.5,0.0204713013,0.00642144566,0.0298833869,0.826237563,0.949645311,0.103143031
25,OK,1.5,36,60,36,1.5,0.0209994241,0.00642674797,0.0300430518,0.831512602,0.948957523,0.101335339
26,OK,1.5,38,58,38,1.5,0.0215558242,0.00645002798,0.0301853911,0.836221072,0.948258784,0.0997244118
27,OK,1.5,40,56,40,1.5,0.0221429412,0.00648987852,0.0303132347,0.840445916,0.947543823,0.0982791314
28,OK,1.5,42,54,42,1.5,0.022763504,0.00654531459,0.03042885,0.844254501,0.946807645,0.0969744456
29,OK,1.5,44,52,44,1.5,0.0234205759,0.006615698,0.0305340755,0.847702039,0.946045348,0.0957899583
30,OK,1.5,46,50,46,1.5,0.02411761,0.00670068518,0.0306304185,0.850834149,0.945251971,0.094708888
31,OK,1.5,48,48,48,1.5,0.024858515,0.0068001926,0.0307191276,0.853688799,0.944422357,0.0937172905
32,OK,1.5,50,46,50,1.5,0.0256477362,0.00691437576,0.0308012479,0.856297783,0.943551015,0.0928034676
33,OK,2,20,75.5,20,2,0.0232513755,0.00945754317,0.0278311442,0.758250723,0.948917479,0.126230224
34,OK,2,22,73.5,22,2,0.0237634159,0.00914690335,0.0283092857,0.772805721,0.947927297,0.12095133
35,OK,2,24,71.5,24,2,0.0242984377,0.00891272691,0.0287025306,0.785014935,0.946999031,0.116588023
36,OK,2,26,69.5,26,2,0.0248580364,0.00873907309,0.029031218,0.795385565,0.946110744,0.112925372
37,OK,2,28,67.5,28,2,0.0254440178,0.00861441946,0.0293098959,0.804291522,0.945246085,0.109809236
38,OK,2,30,65.5,30,2,0.0260583968,0.00853033407,0.0295491809,0.812013433,0.944392421,0.10712661
39,OK,2,32,63.5,32,2,0.0267034111,0.00848058622,0.0297569688,0.81876541,0.943539619,0.104792991
40,OK,2,34,61.5,34,2,0.027381544,0.00846054429,0.0299392351,0.824713289,0.94267922,0.102744048
41,OK,2,36,59.5,36,2,0.0280955559,0.0084667629,0.030100576,0.82998728,0.941803867,0.100930007
42,OK,2,38,57.5,38,2,0.028848523,0.00849669654,0.0302445791,0.834690886,0.940906897,0.0993117875
43,OK,2,40,55.5,40,2,0.0296438848,0.00854849926,0.0303740836,0.8389073,0.939982031,0.0978582902
44,OK,2,42,53.5,42,2,0.0304855013,0.00862088386,0.0304913647,0.842704062,0.939023133,0.0965444588
45,OK,2,44,51.5,44,2,0.0313777211,0.00871302338,0.0305982674,0.846136496,0.93802401,0.0953498727
46,OK,2,46,49.5,46,2,0.0323254649,0.00882448334,0.0306963045,0.849250274,0.93697823,0.0942577081
